date,time,open,high,low,close,volume
2024-04-08,09:34,519.07,519.23,518.91,518.965,136833
2024-04-09,09:30,520.5,520.62,520.33,520.33,801016
2024-04-09,09:31,520.31,520.51,520.2799,520.45,199517
2024-04-09,09:32,520.44,520.7296,520.41,520.71,196415
2024-04-09,09:33,520.71,520.75,520.23,520.3,187019
2024-04-09,09:34,520.3,520.3399,520.04,520.06,201817
2024-04-10,09:30,513.48,513.61,513.18,513.28,646119
2024-04-10,09:31,513.27,513.27,512.76,512.91,537554
2024-04-10,09:32,512.91,513.66,512.86,513.64,375498
2024-04-10,09:33,513.63,513.63,513.14,513.2399,342086
2024-04-10,09:34,513.22,513.3899,512.94,513.3899,355749
2024-04-11,09:30,515.68,515.87,515.2,515.5,665967
2024-04-11,09:31,515.51,515.61,515.0,515.07,232058
2024-04-11,09:32,515.07,515.1701,514.88,515.03,289039
2024-04-11,09:33,515.04,515.1,514.82,515.06,215289
2024-04-11,09:34,515.07,515.4,515.04,515.39,385648
2024-04-12,09:30,514.37,514.5699,514.27,514.55,754394
2024-04-12,09:31,514.55,514.831,514.08,514.831,367175
2024-04-12,09:32,514.835,515.28,514.62,515.24,405225
2024-04-12,09:33,515.25,515.28,514.97,514.9799,301920
2024-04-12,09:34,514.98,515.07,514.84,514.98,241626
2024-04-15,09:30,515.13,515.3,514.59,514.7,1668297
2024-04-15,09:31,514.7,515.04,514.65,514.71,375795
2024-04-15,09:32,514.685,514.88,514.62,514.78,255372
2024-04-15,09:33,514.77,514.84,514.46,514.4793,342915
2024-04-15,09:34,514.48,514.65,514.34,514.4,334865
2024-04-16,09:30,504.94,505.01,504.56,504.84,819898
2024-04-16,09:31,504.85,504.91,504.62,504.66,243998
2024-04-16,09:32,504.66,505.12,504.66,504.9999,358455
2024-04-16,09:33,504.99,505.08,504.57,504.89,247198
2024-04-16,09:34,504.88,505.2,504.83,505.08,371544
2024-04-17,09:30,506.05,506.12,505.46,505.66,1078857
2024-04-17,09:31,505.65,505.93,505.4501,505.92,222387
2024-04-17,09:32,505.92,505.92,505.6152,505.86,250797
2024-04-17,09:33,505.855,506.06,505.65,505.96,188866
2024-04-17,09:34,505.96,505.9601,505.55,505.555,201126
2024-04-18,09:30,501.98,502.08,501.57,502.02,1185123
2024-04-18,09:31,502.02,502.05,501.65,501.7117,181157
2024-04-18,09:32,501.7,501.7012,501.375,501.56,163832
2024-04-18,09:33,501.57,501.62,501.1721,501.28,165211
2024-04-18,09:34,501.28,501.4,501.09,501.095,135352
2024-04-19,09:30,499.44,499.44,498.925,498.935,596076
2024-04-19,09:31,498.94,499.28,498.6899,499.2699,258911
2024-04-19,09:32,499.265,499.54,499.02,499.51,372511
2024-04-19,09:33,499.52,499.73,499.24,499.69,207654
2024-04-19,09:34,499.68,499.73,499.28,499.33,175570
2024-04-22,09:30,497.83,498.07,497.52,497.6939,1190608
2024-04-22,09:31,497.7,497.71,497.19,497.21,215969
2024-04-22,09:32,497.2,497.7,497.1501,497.5,322006
2024-04-22,09:33,497.51,497.82,497.3601,497.79,241205
2024-04-22,09:34,497.78,497.79,497.2,497.22,188971
2024-04-23,09:30,501.78,501.92,501.4,501.44,978272
2024-04-23,09:31,501.47,501.8,501.39,501.69,225486
2024-04-23,09:32,501.68,501.86,501.66,501.75,175504
2024-04-23,09:33,501.75,501.795,501.54,501.59,125777
2024-04-23,09:34,501.57,501.58,501.225,501.4,203321
2024-04-24,09:30,506.56,506.83,506.34,506.34,1057951
2024-04-24,09:31,506.34,506.47,506.16,506.2,330274
2024-04-24,09:32,506.225,506.28,505.93,506.05,251460
2024-04-24,09:33,506.04,506.23,505.94,506.08,149708
2024-04-24,09:34,506.07,506.35,506.07,506.34,157264
2024-04-25,09:30,499.18,499.32,498.91,499.25,771240
2024-04-25,09:31,499.24,499.33,499.02,499.18,506574
2024-04-25,09:32,499.18,499.2,498.69,498.8,521569
2024-04-25,09:33,498.79,498.85,498.625,498.71,592615
2024-04-25,09:34,498.7,498.8,498.44,498.47,337882
2024-04-26,09:30,506.35,506.48,505.97,506.18,1073650
2024-04-26,09:31,506.17,506.27,505.83,505.97,213015
2024-04-26,09:32,505.98,506.0,505.7,505.85,246087
2024-04-26,09:33,505.86,506.56,505.83,506.42,280938
2024-04-26,09:34,506.43,506.74,506.38,506.73,272788
2024-04-29,09:30,510.09,510.28,509.94,510.11,919489
2024-04-29,09:31,510.1,510.45,510.07,510.4206,298385
2024-04-29,09:32,510.43,510.68,510.37,510.62,327318
2024-04-29,09:33,510.63,510.75,510.57,510.63,180686
2024-04-29,09:34,510.64,510.7,510.585,510.68,137549
2024-04-30,09:30,508.56,508.77,508.25,508.32,489731
2024-04-30,09:31,508.32,508.43,508.2,508.24,183202
2024-04-30,09:32,508.24,508.5,508.2,508.4,145378
2024-04-30,09:33,508.4,508.5,508.2,508.4501,127190
2024-04-30,09:34,508.48,508.82,508.48,508.77,120862
2024-05-01,09:30,501.38,501.71,501.16,501.6118,544998
2024-05-01,09:31,501.62,501.62,501.26,501.33,488026
2024-05-01,09:32,501.31,501.66,501.26,501.6,166607
2024-05-01,09:33,501.61,501.65,501.34,501.52,199129
2024-05-01,09:34,501.53,501.75,501.461,501.7,128457
2024-05-02,09:30,504.15,504.68,503.98,504.14,911443
2024-05-02,09:31,504.13,504.21,503.66,503.76,358846
2024-05-02,09:32,503.765,503.91,503.67,503.83,173664
2024-05-02,09:33,503.85,503.98,503.5389,503.54,240010
2024-05-02,09:34,503.56,503.62,503.09,503.09,355211
2024-05-03,09:30,511.16,511.39,510.68,511.24,1355543
2024-05-03,09:31,511.24,511.3789,510.78,510.9,488183
2024-05-03,09:32,510.89,510.9,510.39,510.39,362299
2024-05-03,09:33,510.4,510.53,510.14,510.37,299817
2024-05-03,09:34,510.39,510.46,510.1699,510.175,254235
2024-05-06,09:30,513.75,513.79,513.41,513.42,869940
