date,spy_open,previous_close,gap_pct,first_1m_return,net_movement,opening_range_high,opening_range_low,opening_range_width,breakout_direction,volatility,volume,volume_ratio,label
2024-12-20,581.77,586.38,-0.7862,-0.0653,0.0945,582.6,581.15,1.45,UP,0.777,3773021,3.2448,PASS
2024-12-23,590.89,591.97,-0.1824,0.1405,0.0575,591.77,590.71,1.06,UP,0.572,1214252,0.9379,PASS
2024-12-24,596.06,595.11,0.1596,-0.0688,0.0117,596.21,595.47,0.74,UP,0.376,850954,0.6574,PASS
2024-12-26,599.5,601.3,-0.2994,0.0634,0.0684,600.1763,599.41,0.7663,UP,0.4233,924172,0.75,PASS
2024-12-27,597.54,601.24,-0.6154,0.005,-0.0787,597.7761,597.02,0.7561,DOWN,0.4372,1245437,1.0391,PASS
2024-12-30,587.89,595.12,-1.2149,-0.0816,-0.1514,588.01,586.48,1.53,DOWN,0.661,1356994,1.1187,PASS
2024-12-31,589.905,588.0,0.324,0.0568,0.0178,590.58,589.45,1.13,UP,0.658,1032772,0.8332,PASS
2025-01-02,589.39,586.18,0.5476,0.0102,-0.2647,589.65,587.81,1.84,DOWN,0.8156,1864959,1.5449,PASS
2025-01-03,587.53,584.96,0.4393,0.0391,0.0917,588.62,586.91,1.71,UP,0.508,1728922,1.3709,PASS
2025-01-06,596.27,591.82,0.7519,0.0335,0.0956,597.21,595.9,1.31,UP,0.6702,1661046,1.2922,PASS
2025-01-07,597.42,595.65,0.2972,0.0301,-0.0737,597.75,596.92,0.83,DOWN,0.358,775412,0.5816,PASS
2025-01-08,588.7,588.8,-0.017,-0.1223,-0.079,588.77,587.44,1.33,DOWN,0.6713,1083747,0.8226,PASS
2025-01-10,585.88,589.93,-0.6865,-0.1434,-0.1195,585.95,584.1,1.85,DOWN,0.932,1622911,1.2231,PASS
2025-01-13,575.77,580.71,-0.8507,0.02,0.1181,576.48,575.5,0.98,UP,0.5195,1734113,1.2629,PASS
2025-01-14,584.36,581.5,0.4918,-0.0941,-0.0685,584.56,583.3,1.26,DOWN,0.589,1423434,1.0052,PASS
2025-01-15,590.325,582.6,1.326,-0.05,0.0601,590.94,589.58,1.36,UP,0.642,2503782,1.7303,PASS
2025-01-16,594.175,592.81,0.2303,-0.085,-0.085,594.3,593.36,0.94,DOWN,0.48,1390927,0.9119,PASS
2025-01-17,596.96,591.64,0.8992,-0.0553,-0.1097,597.3,596.06,1.24,DOWN,0.552,2646778,1.7221,PASS
2025-01-21,600.67,597.51,0.5289,0.0017,0.0267,601.13,600.38,0.75,UP,0.358,1379963,0.8588,PASS
2025-01-22,605.92,603.17,0.4559,-0.066,-0.0199,606.0798,605.36,0.7198,DOWN,0.4024,1692481,1.0347,PASS
2025-01-23,605.8,606.375,-0.0948,-0.0173,0.0165,605.92,605.52,0.4,UP,0.223,852423,0.5343,PASS
2025-01-24,609.81,609.42,0.064,0.0213,0.0066,610.14,609.65,0.49,UP,0.2169,833605,0.5752,PASS
2025-01-27,594.81,607.82,-2.1404,0.2833,0.4321,597.88,594.64,3.24,UP,0.9319,4161135,2.9094,TAKE
2025-01-28,600.62,599.33,0.2152,-0.0383,-0.1715,600.78,599.3862,1.3938,DOWN,0.6388,1688592,1.0582,PASS
2025-01-29,603.72,604.19,-0.0778,-0.0232,-0.0779,603.99,603.07,0.92,DOWN,0.392,714102,0.437,PASS
2025-01-30,603.96,600.94,0.5025,0.0116,-0.0397,604.3,603.6913,0.6087,DOWN,0.3137,868033,0.54,PASS
2025-01-31,607.5,605.32,0.3601,0.0091,-0.0181,607.88,607.18,0.7,DOWN,0.386,1439146,0.9092,PASS
2025-02-03,592.67,602.05,-1.558,0.0388,0.14,594.12,591.905,2.215,UP,0.747,3099513,1.9332,PASS
2025-02-04,597.83,597.57,0.0435,-0.0268,0.0251,598.1799,597.28,0.8999,UP,0.4187,1115784,0.6701,PASS
2025-02-05,600.64,601.8,-0.1928,-0.0083,-0.0366,600.72,600.2,0.52,DOWN,0.258,787660,0.4819,PASS
2025-02-06,605.99,604.15,0.3046,-0.0809,-0.0644,606.05,605.39,0.66,DOWN,0.2784,1434624,0.9019,PASS
2025-02-07,606.89,605.63,0.208,0.0066,0.0503,607.47,606.56,0.91,UP,0.2931,1359752,0.8375,PASS
2025-02-10,604.03,601.14,0.4808,-0.0646,-0.0935,604.1,603.3901,0.7099,DOWN,0.3688,1113137,0.6798,PASS
2025-02-11,602.55,604.53,-0.3275,0.0664,0.1212,603.41,602.43,0.98,UP,0.33,838788,0.5204,PASS
2025-02-12,599.2,605.15,-0.9832,-0.0651,0.0734,599.7,598.51,1.19,UP,0.4977,3853835,2.4591,PASS
2025-02-13,604.48,603.49,0.164,0.0165,0.0124,605.0543,604.22,0.8343,UP,0.3769,807409,0.4781,PASS
2025-02-14,609.94,609.43,0.0837,0.0508,0.0279,610.37,609.81,0.56,UP,0.31,789829,0.4924,PASS
2025-02-18,610.88,609.49,0.2281,-0.0012,-0.0361,611.0,610.38,0.62,DOWN,0.345,959947,0.6099,PASS
2025-02-19,610.08,611.29,-0.1979,-0.0197,0.0127,610.1987,609.75,0.4487,UP,0.2411,725113,0.4868,PASS
2025-02-20,611.54,612.4,-0.1404,0.0016,-0.0458,611.684,611.15,0.534,DOWN,0.2248,688261,0.4725,PASS
