date,spy_open,previous_close,gap_pct,first_1m_return,net_movement,opening_range_high,opening_range_low,opening_range_width,breakout_direction,volatility,volume,rvol_10d,vix_at_open,entry_price,outcome_label,label,max_gain_reached,max_drawdown_reached
2024-10-11,576.05,576.07,-0.0035,0.0052,0.1597,577.19,575.91,1.28,UP,0.381,1200016,1.0231,20.81,576.97,TAKE,TAKE,0.5416,-0.0867
2024-10-14,581.22,579.61,0.2778,-0.0361,0.0981,581.81,580.73,1.08,UP,0.366,1430912,1.2266,20.54,581.79,TAKE,TAKE,0.318,-0.0275
2024-10-15,584.59,584.28,0.0531,0.0016,0.0222,584.9,584.44,0.46,UP,0.296,1120515,0.9205,19.61,584.7198,FAIL_FAKEOUT,PASS,0.0206,-0.2941
2024-10-16,579.78,579.87,-0.0155,-0.0147,-0.0569,579.96,579.19,0.77,DOWN,0.362,1000567,0.8747,20.82,579.45,PASS,PASS,0.2934,-0.0846
2024-10-17,585.91,582.13,0.6493,-0.0785,-0.198,586.12,584.57,1.55,DOWN,0.439,1998654,1.7489,19.27,584.75,FAIL_FAKEOUT,PASS,0.0308,-0.3258
2024-10-18,584.07,582.53,0.2644,-0.1027,-0.2483,584.22,582.595,1.625,DOWN,0.4896,1503758,1.198,19.15,582.62,PASS,PASS,0.242,-0.0069
2024-10-21,583.85,584.54,-0.118,0.036,0.0103,584.19,583.83,0.36,UP,0.223,852559,0.6919,18.91,583.91,PASS,PASS,0.161,-0.0291
2024-10-22,581.05,583.64,-0.4438,-0.031,-0.0172,581.31,580.38,0.93,DOWN,0.338,1242232,1.0241,19.28,580.95,PASS,PASS,0.2221,-0.062
2024-10-23,581.26,583.08,-0.3121,0.0447,0.0301,581.7086,580.96,0.7486,UP,0.4207,908797,0.7539,18.6,581.435,FAIL_FAKEOUT,PASS,0.0215,-0.2296
2024-10-24,579.98,577.79,0.379,-0.0811,-0.15,580.06,578.94,1.12,DOWN,0.454,1721198,1.4024,19.02,579.11,PASS,PASS,0.1416,-0.0846
2024-10-25,581.51,579.5,0.3469,0.1384,0.1032,582.6,581.47,1.13,UP,0.3952,1372123,1.0572,18.49,582.11,TAKE,TAKE,0.4037,-0.0155
2024-10-28,582.58,579.04,0.6114,-0.1339,-0.0635,582.71,581.6807,1.0293,DOWN,0.5389,1786318,1.3583,19.26,582.21,PASS,PASS,0.0481,-0.1666
2024-10-29,579.85,580.72,-0.1498,-0.0673,-0.1811,579.96,578.67,1.29,DOWN,0.3856,844705,0.6254,20.27,578.8,TAKE,TAKE,0.527,-0.0639
2024-10-30,581.29,582.03,-0.1271,-0.0637,-0.0585,581.63,580.81,0.82,DOWN,0.4288,1006796,0.7609,19.82,580.95,FAIL_FAKEOUT,PASS,0.3357,-0.2857
2024-10-31,575.56,579.04,-0.601,-0.0751,-0.1216,575.63,574.29,1.34,DOWN,0.4837,1773541,1.3398,21.57,574.86,FAIL_FAKEOUT,PASS,0.1183,-0.5445
2024-11-01,571.32,569.22,0.3689,0.0114,0.147,572.33,570.68,1.65,UP,0.468,1717729,1.3201,22.04,572.16,TAKE,TAKE,0.5925,-0.0559
2024-11-04,571.18,571.39,-0.0368,0.0105,-0.1523,571.53,570.19,1.34,DOWN,0.4818,1040933,0.787,22.54,570.31,TAKE,TAKE,0.384,-0.1824
2024-11-05,570.74,569.73,0.1773,0.0543,0.2225,572.18,570.52,1.66,UP,0.536,778108,0.5801,21.73,572.0101,TAKE,TAKE,0.4842,-0.0466
